hospital_id,name,level,x,y,avg_flow,avg_beddays,occupancy_rate
0,County,county,0.0,0.0,124.82692307692308,74.89615384615385,0.07991930414660733
1,Secondary_1,secondary,0.11379539773014025,-5.650593474,11.711538461538462,7.026923076923077,0.09539262916163621
2,Secondary_2,secondary,4.320249347575342,3.185028953685901,11.461538461538462,6.8769230769230765,0.08775495330298037
3,Township_1,township,-1.55559427,-0.989992556,16.942307692307693,10.165384615384616,0.16664564943253468
4,Township_2,township,-0.886082892,2.133249007302485,33.44230769230769,20.065384615384616,0.4013076923076923
5,Township_3,township,2.4797599149815674,-2.85845215,27.615384615384617,16.56923076923077,0.24693339447437807
6,Township_4,township,4.040729383325832,-4.399558712,21.21153846153846,12.726923076923075,0.2545384615384615
7,Township_5,township,-6.634243241,-0.371456373,18.653846153846153,11.192307692307692,0.22384615384615383
8,Township_6,township,3.6605658066377575,-0.103055971,20.51923076923077,12.311538461538461,0.19519197231091195
9,Township_7,township,8.659329422749051,-2.229064251,15.634615384615385,9.38076923076923,0.11789834511395345
10,Township_8,township,7.328182317,4.816806888528005,21.884615384615383,13.13076923076923,0.2626153846153846
11,Township_9,township,-1.050331321,7.472897930775263,26.192307692307693,15.715384615384615,0.24915788780455678
12,Township_10,township,-4.29982209,-1.095054112,41.67307692307692,25.00384615384615,0.30796327368607535
